client_id,number_contacts,contact_duration,previous_campaign_contacts,previous_outcome,campaign_outcome,last_contact_date
0,1,261,0,False,False,13-05-22
1,1,149,0,False,False,19-05-22
2,1,226,0,False,False,23-05-22
3,1,151,0,False,False,27-05-22
4,1,307,0,False,False,03-05-22
5,1,198,0,False,False,05-05-22
6,1,139,0,False,False,03-05-22
7,1,217,0,False,False,12-05-22
8,1,380,0,False,False,21-05-22
9,1,50,0,False,False,05-05-22
10,1,55,0,False,False,08-05-22
11,1,222,0,False,False,09-05-22
12,1,137,0,False,False,29-05-22
13,1,293,0,False,False,14-05-22
14,1,146,0,False,False,29-05-22
15,1,174,0,False,False,29-05-22
16,1,312,0,False,False,01-05-22
17,1,440,0,False,False,09-05-22
18,1,353,0,False,False,06-05-22
19,1,195,0,False,False,02-05-22
20,1,38,0,False,False,02-05-22
21,1,262,0,False,False,16-05-22
22,1,342,0,False,False,20-05-22
23,1,181,0,False,False,10-05-22
24,1,172,0,False,False,02-05-22
25,1,99,0,False,False,28-05-22
26,1,93,0,False,False,30-05-22
27,1,233,0,False,False,16-05-22
28,2,255,0,False,False,01-05-22
29,1,362,0,False,False,22-05-22
30,1,348,0,False,False,22-05-22
31,1,386,0,False,False,27-05-22
32,1,73,0,False,False,25-05-22
33,1,230,0,False,False,14-05-22
34,1,208,0,False,False,25-05-22
35,1,336,0,False,False,22-05-22
36,1,365,0,False,False,11-05-22
37,1,1666,0,False,False,03-05-22
38,1,577,0,False,False,02-05-22
39,1,137,0,False,False,20-05-22
40,1,366,0,False,False,05-05-22
41,1,314,0,False,False,25-05-22
42,1,160,0,False,False,22-05-22
43,1,212,0,False,False,01-05-22
44,1,188,0,False,False,17-05-22
45,1,22,0,False,False,28-05-22
46,1,616,0,False,False,15-05-22
47,1,178,0,False,False,03-05-22
48,1,355,0,False,False,26-05-22
49,2,225,0,False,False,26-05-22
50,1,160,0,False,False,03-05-22
51,1,266,0,False,False,09-05-22
52,1,253,0,False,False,11-05-22
53,1,179,0,False,False,13-05-22
54,2,269,0,False,False,12-05-22
55,1,135,0,False,False,08-05-22
56,1,161,0,False,False,17-05-22
57,1,787,0,False,False,08-05-22
58,1,145,0,False,False,08-05-22
59,1,174,0,False,False,18-05-22
60,1,449,0,False,False,03-05-22
61,1,812,0,False,False,23-05-22
62,1,164,0,False,False,27-05-22
63,1,366,0,False,False,29-05-22
64,1,357,0,False,False,19-05-22
65,1,232,0,False,False,15-05-22
66,1,91,0,False,False,16-05-22
67,1,273,0,False,False,21-05-22
68,2,158,0,False,False,29-05-22
69,1,177,0,False,False,04-05-22
70,1,200,0,False,False,28-05-22
71,1,172,0,False,False,26-05-22
72,1,176,0,False,False,18-05-22
73,1,211,0,False,False,14-05-22
74,1,214,0,False,False,26-05-22
75,1,1575,0,False,True,20-05-22
76,1,349,0,False,False,16-05-22
77,2,337,0,False,False,28-05-22
78,1,272,0,False,False,30-05-22
79,1,208,0,False,False,21-05-22
80,1,193,0,False,False,29-05-22
81,1,212,0,False,False,29-05-22
82,2,165,0,False,False,27-05-22
83,1,1042,0,False,True,06-05-22
84,1,20,0,False,False,23-05-22
85,1,246,0,False,False,12-05-22
86,2,529,0,False,False,23-05-22
87,1,192,0,False,False,21-05-22
88,1,1467,0,False,True,19-05-22
89,2,188,0,False,False,17-05-22
90,2,180,0,False,False,29-05-22
91,1,48,0,False,False,05-05-22
92,2,213,0,False,False,02-05-22
93,1,545,0,False,False,27-05-22
94,1,583,0,False,False,28-05-22
95,1,221,0,False,False,25-05-22
96,1,426,0,False,False,17-05-22
97,1,287,0,False,False,27-05-22
98,1,197,0,False,False,30-05-22
99,1,257,0,False,False,03-05-22
100,1,229,0,False,False,25-05-22
101,3,55,0,False,False,30-05-22
102,1,400,0,False,False,27-05-22
103,1,197,0,False,False,19-05-22
104,1,190,0,False,False,24-05-22
105,1,21,0,False,False,08-05-22
106,2,300,0,False,False,22-05-22
107,2,123,0,False,False,09-05-22
108,1,293,0,False,False,15-05-22
109,1,325,0,False,False,09-05-22
110,1,514,0,False,False,04-05-22
111,2,849,0,False,False,01-05-22
112,1,194,0,False,False,25-05-22
113,2,212,0,False,False,04-05-22
114,2,337,0,False,False,06-05-22
115,1,286,0,False,False,20-05-22
116,2,247,0,False,False,31-05-22
117,1,518,0,False,False,24-05-22
118,1,364,0,False,False,06-05-22
119,1,178,0,False,False,26-05-22
120,1,98,0,False,False,21-05-22
121,1,439,0,False,False,01-05-22
122,1,139,0,False,False,18-05-22
123,1,79,0,False,False,09-05-22
124,1,175,0,False,False,26-05-22
125,2,262,0,False,False,21-05-22
126,1,61,0,False,False,31-05-22
127,1,78,0,False,False,24-05-22
128,2,102,0,False,False,23-05-22
129,1,579,0,False,True,12-05-22
130,1,143,0,False,False,29-05-22
131,1,677,0,False,False,20-05-22
132,1,267,0,False,False,22-05-22
133,1,345,0,False,False,12-05-22
134,1,185,0,False,False,19-05-22
135,1,207,0,False,False,05-05-22
136,2,69,0,False,False,26-05-22
137,2,100,0,False,False,19-05-22
138,2,125,0,False,False,28-05-22
139,1,461,0,False,True,27-05-22
140,1,240,0,False,False,16-05-22
141,1,70,0,False,False,22-05-22
142,1,193,0,False,False,24-05-22
143,1,136,0,False,False,17-05-22
144,1,73,0,False,False,24-05-22
145,1,528,0,False,False,06-05-22
146,1,541,0,False,False,11-05-22
147,1,338,0,False,False,16-05-22
148,1,163,0,False,False,28-05-22
149,1,87,0,False,False,25-05-22
150,1,301,0,False,False,03-05-22
151,1,46,0,False,False,22-05-22
152,1,52,0,False,False,08-05-22
153,1,204,0,False,False,03-05-22
154,1,155,0,False,False,12-05-22
155,1,98,0,False,False,15-05-22
156,1,71,0,False,False,25-05-22
157,1,243,0,False,False,29-05-22
158,2,186,0,False,False,07-05-22
159,2,579,0,False,False,27-05-22
160,2,165,0,False,False,03-05-22
161,2,163,0,False,False,09-05-22
162,1,46,0,False,False,29-05-22
163,3,559,0,False,False,15-05-22
164,1,2033,0,False,False,18-05-22
165,1,85,0,False,False,22-05-22
166,1,506,0,False,False,04-05-22
167,2,114,0,False,False,12-05-22
168,2,114,0,False,False,19-05-22
169,2,843,0,False,False,25-05-22
170,1,181,0,False,False,12-05-22
171,1,427,0,False,False,05-05-22
172,1,292,0,False,False,24-05-22
173,1,192,0,False,False,07-05-22
174,3,93,0,False,False,02-05-22
175,2,128,0,False,False,09-05-22
176,1,107,0,False,False,29-05-22
177,2,303,0,False,False,13-05-22
178,1,81,0,False,False,11-05-22
179,1,270,0,False,False,30-05-22
180,1,228,0,False,False,12-05-22
181,1,240,0,False,False,31-05-22
182,2,673,0,False,True,20-05-22
183,3,233,0,False,False,08-05-22
184,1,102,0,False,False,13-05-22
185,1,461,0,False,False,19-05-22
186,1,250,0,False,False,20-05-22
187,1,130,0,False,False,03-05-22
188,1,252,0,False,False,18-05-22
189,1,138,0,False,False,19-05-22
190,1,412,0,False,False,10-05-22
191,2,179,0,False,False,19-05-22
192,2,19,0,False,False,07-05-22
193,2,228,0,False,False,26-05-22
194,1,55,0,False,False,31-05-22
195,1,717,0,False,False,06-05-22
196,1,313,0,False,False,07-05-22
197,1,289,0,False,False,29-05-22
198,2,683,0,False,False,25-05-22
199,1,1077,0,False,False,29-05-22
200,2,146,0,False,False,09-05-22
201,1,167,0,False,False,15-05-22
202,2,356,0,False,False,20-05-22
203,1,277,0,False,False,13-05-22
204,1,172,0,False,False,09-05-22
205,1,218,0,False,False,10-05-22
206,1,217,0,False,False,04-05-22
207,1,67,0,False,False,26-05-22
208,1,291,0,False,False,08-05-22
209,1,248,0,False,False,24-05-22
210,1,256,0,False,False,19-05-22
211,1,286,0,False,False,25-05-22
212,1,477,0,False,False,31-05-22
213,2,611,0,False,False,05-05-22
214,1,471,0,False,False,14-05-22
215,2,381,0,False,False,22-05-22
216,1,251,0,False,False,02-05-22
217,1,408,0,False,False,20-05-22
218,1,287,0,False,False,29-05-22
219,3,322,0,False,False,09-05-22
220,2,216,0,False,False,20-05-22
221,2,366,0,False,False,26-05-22
222,1,210,0,False,False,26-05-22
223,1,288,0,False,False,19-05-22
224,1,168,0,False,False,15-05-22
225,1,132,0,False,False,17-05-22
226,2,64,0,False,False,26-05-22
227,2,209,0,False,False,08-05-22
228,3,410,0,False,False,09-05-22
229,1,177,0,False,False,19-05-22
230,2,580,0,False,False,06-05-22
231,1,165,0,False,False,23-05-22
232,2,127,0,False,False,27-05-22
233,1,357,0,False,False,17-05-22
234,1,175,0,False,False,10-05-22
235,1,300,0,False,False,06-05-22
236,1,136,0,False,False,19-05-22
237,2,125,0,False,False,24-05-22
238,2,189,0,False,False,04-05-22
239,3,213,0,False,False,02-05-22
240,2,238,0,False,False,10-05-22
241,1,124,0,False,False,04-05-22
242,1,18,0,False,False,02-05-22
243,2,730,0,False,False,17-05-22
244,1,40,0,False,False,11-05-22
245,2,181,0,False,False,16-05-22
246,1,79,0,False,False,20-05-22
247,2,142,0,False,False,06-05-22
248,1,389,0,False,False,10-05-22
249,1,702,0,False,False,24-05-22
250,1,151,0,False,False,23-05-22
251,1,211,0,False,False,07-05-22
252,1,117,0,False,False,26-05-22
253,3,232,0,False,False,24-05-22
254,2,408,0,False,False,08-05-22
255,3,370,0,False,False,15-05-22
256,2,179,0,False,False,06-05-22
257,1,46,0,False,False,01-05-22
258,1,200,0,False,False,22-05-22
259,1,50,0,False,False,04-05-22
260,1,181,0,False,False,07-05-22
261,1,119,0,False,False,26-05-22
262,1,361,0,False,False,17-05-22
263,3,73,0,False,False,16-05-22
264,2,67,0,False,False,24-05-22
265,1,350,0,False,False,10-05-22
266,2,150,0,False,False,18-05-22
267,2,332,0,False,False,09-05-22
268,2,611,0,False,False,13-05-22
269,3,58,0,False,False,25-05-22
270,1,151,0,False,False,26-05-22
271,2,89,0,False,False,10-05-22
272,1,152,0,False,False,05-05-22
273,2,611,0,False,False,25-05-22
274,2,110,0,False,False,28-05-22
275,1,463,0,False,False,16-05-22
276,1,962,0,False,False,08-05-22
277,2,102,0,False,False,22-05-22
278,4,10,0,False,False,04-05-22
279,3,118,0,False,False,31-05-22
280,2,92,0,False,False,04-05-22
281,3,143,0,False,False,10-05-22
282,3,189,0,False,False,09-05-22
283,2,75,0,False,False,18-05-22
284,2,189,0,False,False,28-05-22
285,2,55,0,False,False,11-05-22
286,3,935,0,False,True,31-05-22
287,2,56,0,False,False,25-05-22
288,2,5,0,False,False,15-05-22
289,2,225,0,False,False,23-05-22
290,2,125,0,False,False,07-05-22
291,2,286,0,False,False,09-05-22
292,2,206,0,False,False,15-05-22
293,2,164,0,False,False,16-05-22
294,2,98,0,False,False,05-05-22
295,2,446,0,False,False,03-05-22
296,2,742,0,False,False,31-05-22
297,2,120,0,False,False,06-05-22
298,3,122,0,False,False,13-05-22
299,4,362,0,False,False,25-05-22
300,2,357,0,False,False,19-05-22
301,2,200,0,False,False,27-05-22
302,2,107,0,False,False,05-05-22
303,2,267,0,False,False,13-05-22
304,2,248,0,False,False,22-05-22
305,2,215,0,False,False,08-05-22
306,2,209,0,False,False,22-05-22
307,2,205,0,False,False,15-05-22
308,3,261,0,False,False,09-05-22
309,2,83,0,False,False,20-05-22
310,3,106,0,False,False,13-05-22
311,2,106,0,False,False,27-05-22
312,2,108,0,False,False,28-05-22
313,2,214,0,False,False,17-05-22
314,2,358,0,False,False,09-05-22
315,2,453,0,False,False,07-05-22
316,2,364,0,False,False,13-05-22
317,2,136,0,False,False,19-05-22
318,2,173,0,False,False,20-05-22
319,2,241,0,False,False,07-05-22
320,3,224,0,False,False,22-05-22
321,2,148,0,False,False,31-05-22
322,2,230,0,False,False,10-05-22
323,3,199,0,False,False,15-05-22
324,2,196,0,False,False,10-05-22
325,4,111,0,False,False,23-05-22
326,3,231,0,False,False,01-05-22
327,3,316,0,False,False,16-05-22
328,2,240,0,False,False,27-05-22
329,3,669,0,False,False,21-05-22
330,2,425,0,False,False,31-05-22
331,2,121,0,False,False,09-05-22
332,5,174,0,False,False,30-05-22
333,5,88,0,False,False,07-05-22
334,3,313,0,False,False,01-05-22
335,4,135,0,False,False,28-05-22
336,2,152,0,False,False,27-05-22
337,3,402,0,False,False,29-05-22
338,2,221,0,False,False,19-05-22
339,2,213,0,False,False,10-05-22
340,3,144,0,False,False,05-05-22
341,3,158,0,False,False,11-05-22
342,3,220,0,False,False,22-05-22
343,2,325,0,False,False,26-05-22
344,2,254,0,False,False,02-05-22
345,2,503,0,False,False,24-05-22
346,2,680,0,False,False,26-05-22
347,4,421,0,False,False,25-05-22
348,3,130,0,False,False,23-05-22
349,2,164,0,False,False,03-05-22
350,3,174,0,False,False,06-05-22
351,2,113,0,False,False,01-05-22
352,2,195,0,False,False,22-05-22
353,3,347,0,False,False,01-05-22
354,2,208,0,False,False,20-05-22
355,4,404,0,False,False,07-05-22
356,2,396,0,False,False,02-05-22
357,2,98,0,False,False,21-05-22
358,3,229,0,False,False,28-05-22
359,2,350,0,False,False,27-05-22
360,3,88,0,False,False,16-05-22
361,2,379,0,False,False,30-05-22
362,3,168,0,False,False,08-05-22
363,3,190,0,False,False,22-05-22
364,1,158,0,False,False,24-05-22
365,1,210,0,False,False,05-05-22
366,1,102,0,False,False,24-05-22
367,1,306,0,False,False,08-05-22
368,1,64,0,False,False,26-05-22
369,1,218,0,False,False,12-05-22
370,1,77,0,False,False,02-05-22
371,1,54,0,False,False,04-05-22
372,1,344,0,False,False,01-05-22
373,1,195,0,False,False,16-05-22
374,1,202,0,False,False,16-05-22
375,1,286,0,False,False,21-05-22
376,1,278,0,False,False,11-05-22
377,1,189,0,False,False,01-05-22
378,1,83,0,False,False,28-05-22
379,1,18,0,False,False,26-05-22
380,2,184,0,False,False,18-05-22
381,1,235,0,False,False,13-05-22
382,1,290,0,False,False,21-05-22
383,1,133,0,False,False,24-05-22
384,1,318,0,False,False,08-05-22
385,1,437,0,False,False,07-05-22
386,1,402,0,False,False,13-05-22
387,4,501,0,False,False,31-05-22
388,1,1201,0,False,True,02-05-22
389,1,1030,0,False,True,10-05-22
390,1,253,0,False,False,03-05-22
391,1,149,0,False,False,29-05-22
392,1,144,0,False,False,10-05-22
393,1,69,0,False,False,24-05-22
394,1,243,0,False,False,23-05-22
395,2,769,0,False,False,06-05-22
396,3,135,0,False,False,03-05-22
397,1,231,0,False,False,04-05-22
398,2,442,0,False,False,17-05-22
399,1,199,0,False,False,05-05-22
400,1,455,0,False,False,22-05-22
401,1,152,0,False,False,21-05-22
402,1,124,0,False,False,23-05-22
403,1,424,0,False,False,19-05-22
404,1,43,0,False,False,16-05-22
405,1,154,0,False,False,04-05-22
406,1,393,0,False,False,26-05-22
407,2,203,0,False,False,03-05-22
408,2,140,0,False,False,23-05-22
409,1,326,0,False,False,30-05-22
410,1,483,0,False,False,03-05-22
411,1,259,0,False,False,12-05-22
412,1,227,0,False,False,01-05-22
413,1,673,0,False,False,01-05-22
414,1,576,0,False,False,23-05-22
415,2,180,0,False,False,24-05-22
416,1,90,0,False,False,18-05-22
417,1,505,0,False,False,22-05-22
418,1,245,0,False,False,03-05-22
419,1,186,0,False,False,23-05-22
420,1,208,0,False,False,05-05-22
421,1,623,0,False,False,30-05-22
422,1,180,0,False,False,08-05-22
423,3,496,0,False,False,11-05-22
424,1,118,0,False,False,20-05-22
